File,Table,Columns,RefTable,RefColumns,Options
010-rbac-and-organization.sql,org_units,parent_id,org_units,id,ON UPDATE CASCADE ON DELETE SET NULL;
010-rbac-and-organization.sql,org_units,tenant_id,tenants,id,ON UPDATE CASCADE ON DELETE CASCADE;
010-rbac-and-organization.sql,org_units,campus_id,campuses,id,ON UPDATE CASCADE ON DELETE SET NULL;
010-rbac-and-organization.sql,program_definitions,tenant_id,tenants,id,ON UPDATE CASCADE ON DELETE CASCADE;
010-rbac-and-organization.sql,program_owners,user_id,users,id,ON UPDATE CASCADE ON DELETE CASCADE
010-rbac-and-organization.sql,program_owners,program_id,program_definitions,id,ON UPDATE CASCADE ON DELETE CASCADE;
010-rbac-and-organization.sql,role_permissions,permission_id,permissions,id,ON UPDATE CASCADE ON DELETE CASCADE;
010-rbac-and-organization.sql,role_permissions,role_id,roles,id,ON UPDATE CASCADE ON DELETE CASCADE;
010-rbac-and-organization.sql,role_permissions,granted_by,users,id,ON UPDATE CASCADE ON DELETE SET NULL
010-rbac-and-organization.sql,roles,tenant_id,tenants,id,ON UPDATE CASCADE ON DELETE SET NULL
010-rbac-and-organization.sql,user_org_units,org_unit_id,org_units,id,ON UPDATE CASCADE ON DELETE CASCADE;
010-rbac-and-organization.sql,user_org_units,user_id,users,id,ON UPDATE CASCADE ON DELETE CASCADE;
010-rbac-and-organization.sql,user_roles,user_id,users,id,ON UPDATE CASCADE ON DELETE CASCADE;
010-rbac-and-organization.sql,user_roles,role_id,roles,id,ON UPDATE CASCADE ON DELETE CASCADE;
010-rbac-and-organization.sql,user_roles,campus_id,campuses,id,ON UPDATE CASCADE ON DELETE SET NULL;
020-billing-and-payments.sql,invoice_items,invoice_id,invoices,id,ON UPDATE CASCADE ON DELETE CASCADE;
020-billing-and-payments.sql,invoices,subscription_id,subscriptions,id,ON UPDATE CASCADE ON DELETE SET NULL;
020-billing-and-payments.sql,invoices,tenant_id,tenants,id,ON UPDATE CASCADE ON DELETE CASCADE;
020-billing-and-payments.sql,payment_methods,tenant_id,tenants,id,ON UPDATE CASCADE ON DELETE CASCADE;
020-billing-and-payments.sql,payment_transactions,payment_id,payments,id,ON UPDATE CASCADE ON DELETE CASCADE;
020-billing-and-payments.sql,payments,invoice_id,invoices,id,ON UPDATE CASCADE ON DELETE SET NULL;
020-billing-and-payments.sql,payments,payment_method_id,payment_methods,id,ON UPDATE CASCADE ON DELETE SET NULL;
020-billing-and-payments.sql,payments,tenant_id,tenants,id,ON UPDATE CASCADE ON DELETE CASCADE;
020-billing-and-payments.sql,refunds,payment_id,payments,id,ON UPDATE CASCADE ON DELETE CASCADE;
020-billing-and-payments.sql,subscriptions,tenant_id,tenants,id,ON UPDATE CASCADE ON DELETE CASCADE;
020-billing-and-payments.sql,subscriptions,plan_id,billing_plans,id,ON UPDATE CASCADE;
030-admissions-and-crm.sql,applications,desired_program_id,program_definitions,id,ON UPDATE CASCADE ON DELETE SET NULL;
